,Year,coal (MMSt),% Change
0,1990,902.76874396,0.0
1,1991,895.303788,-0.8268957039047372
2,1992,908.11384401,1.4308055189419042
3,1993,939.16511106,3.4193143574252183
4,1994,955.62622594,1.7527391814439366
5,1995,962.73625895,0.7440181963409561
6,1996,1007.7334059,4.673880985751565
7,1997,1033.22147,2.5292467185045586
8,1998,1032.6726501,-0.05311735343632557
9,1999,1035.740304,0.2970596635538676
10,2000,1085.03259,4.759135645261141
11,2001,1067.2652393,-1.6374946581097578
12,2002,1070.394756,0.2932276424605034
13,2003,1090.458028,1.8743806327093122
14,2004,1114.14167,2.1718985409679576
15,2005,1135.06992,1.8784191062524331
16,2006,1121.115532,-1.22938576330169
17,2007,1132.083565,0.9783142492400932
18,2008,1126.288328,-0.511908941986965
19,2009,1012.462846,-10.106247145624337
20,2010,1048.695744,3.5786891482633316
21,2011,1014.4545341,-3.265123377863165
22,2012,904.16558998,-10.87174835468065
23,2013,925.89304602,2.403039474271588
24,2014,928.83286904,0.31751216111158115
25,2015,803.56624798,-13.486454370361592
26,2016,733.519456,-8.716990311139023
27,2017,721.41797597,-1.6497831013223934
28,2018,687.69749933,-4.674194123685417
29,2019,632.67061235,-8.001612196294268
30,2020,599.21462,-5.288058540562001
