,Year,Petroleum (mmbpd),Natural Gas (bcf/day),Coal (MMSt)
0,1990,16.989137219,52.530287689,902.76874396
1,1991,16.713846896,53.594702954,895.303788
2,1992,17.03222423,55.268382475,908.11384401
3,1993,17.236999112,56.958472351,939.16511106
4,1994,17.718979427,58.211229173,955.62622594
5,1995,17.724571288,60.840792507,962.73625895
6,1996,18.309109462,61.77344222,1007.7334059
7,1997,18.620301786,62.294088424,1033.22147
8,1998,18.917022359,60.947825258,1032.6726501
9,1999,19.519432427,61.384995388,1035.740304
10,2000,19.701119224,63.757540042,1085.03259
11,2001,19.648519819,60.927744144,1067.2652393
12,2002,19.761644625,63.087740853,1070.394756
13,2003,20.033591899,61.031504691,1090.458028
14,2004,20.731123464,61.209136117,1114.14167
15,2005,20.802151614,60.313534642,1135.06992
16,2006,20.687474836,59.449506847,1121.115532
17,2007,20.680368921,63.297987197,1132.083565
18,2008,19.497954475,63.598285935,1126.288328
19,2009,18.771391049,62.767243771,1012.462846
20,2010,19.180113847,65.991140718,1048.695744
21,2011,18.886687718,67.061342888,1014.4545341
22,2012,18.486649451,69.777203531,904.16558998
23,2013,18.966859773,71.657648115,925.89304602
24,2014,19.100073868,72.858455003,928.83286904
25,2015,19.533503173,74.640616866,803.56624798
26,2016,19.687234932,74.984128506,733.519456
27,2017,19.957716775,74.317059965,721.41797597
28,2018,20.474823485,81.681259847,687.69749933
29,2019,20.816958556,82.531238387,632.67061235
30,2020,21.037267486,83.564262432,599.21462
