Year,Geothermal (Quads),% Change
1990,0.2312196,0.0
1991,0.2293999,4.028482162647771
1992,0.218938897,0.6040738077193045
1993,0.210233282,3.902945023660547
1994,0.20960385,-6.575842523587581
1995,0.211835882,-12.340985997343907
1996,0.214489708,7.432755400722573
1997,0.214006166,2.0440228693693454
1998,0.211592042,1.0509810334493104
1999,0.212310919,1.467141149917908
2000,0.207978644,-3.836117070084446
2001,0.200184503,0.058585713355391644
2002,0.192433129,4.076051091581203
2003,0.185774215,1.3327812627246407
2004,0.18120028,2.710583649641922
2005,0.180702761,1.4347954315409126
2006,0.17814672,0.27532451482575954
2007,0.173445339,2.5242427881458025
2008,0.171164096,3.58441240082754
2009,0.164460598,4.028087076420197
2010,0.164364304,3.893478707490148
2011,0.170921035,2.0830383911917405
2012,0.168449641,-0.3385963394562759
2013,0.16669768,1.1409332681802795
2014,0.163358593,0.22594769535752698
2015,0.152056598,-1.23727428450786
2016,0.173463733,-1.0536609657092915
2017,0.185673318,0.30029601078414603
2018,0.178698802,4.140930930241578
2019,0.177625811,4.778046817327301
2020,0.170747287,0.7932435890338257
