,Year,Oil (mmbpd),% Change
0,1990,21.037267486,0.0
1,1991,20.816958556,-1.047231681332255
2,1992,20.474823485,-1.643540145788422
3,1993,19.957716775,-2.5255734701636676
4,1994,19.687234932,-1.355274483796769
5,1995,19.533503173,-0.7808702417124148
6,1996,19.100073868,-2.218902063604772
7,1997,18.966859773,-0.697453297409413
8,1998,18.486649451,-2.5318388375686434
9,1999,18.886687718,2.1639306141457664
10,2000,19.180113847,1.553613494230382
11,2001,18.771391049,-2.130971699440296
12,2002,19.497954475,3.8705891540131985
13,2003,20.680368921,6.064299962932389
14,2004,20.687474836,0.03436067812496618
15,2005,20.802151614,0.5543295105328232
16,2006,20.731123464,-0.34144617017500056
17,2007,20.033591899,-3.3646587760247324
18,2008,19.761644625,-1.3574563930973194
19,2009,19.648519819,-0.5724463127774635
20,2010,19.701119224,0.2677016156155203
21,2011,19.519432427,-0.922215610870807
22,2012,18.917022359,-3.08620688768965
23,2013,18.620301786,-1.5685374123313514
24,2014,18.309109462,-1.671252848511702
25,2015,17.724571288,-3.1926084401493684
26,2016,17.718979427,-0.031548638943865656
27,2017,17.236999112,-2.7201358689178483
28,2018,17.03222423,-1.1879961278030078
29,2019,16.713846896,-1.8692645757870046
30,2020,16.989137219,1.6470793630751954
