Years,Solar (Quads),% Change
1990,1.2736578,0.0
1991,1.0777469,-15.38175324643716
1992,0.955601183,-11.333432459884598
1993,0.774465814,-18.955121887914192
1994,0.568665177,-26.57323709836469
1995,0.425726674,-25.135793219144126
1996,0.336939161,-20.855520319123823
1997,0.224523132,-33.363895329459794
1998,0.156848746,-30.14138694626796
1999,0.111128539,-29.14923336396965
2000,0.090482912,-18.57815029854752
2001,0.077653809,-14.178481567878801
2002,0.073813602,-4.945291221966971
2003,0.075657103,2.4975085215323825
2004,0.06844104,-9.53785264550773
2005,0.063445787,-7.298622288615123
2006,0.062684753,-1.199502813323141
2007,0.061947989,-1.1753480148513848
2008,0.063005823,1.7076163683053547
2009,0.064267017,2.0017102228789123
2010,0.06558692,2.0537797794473818
2011,0.067936658,3.582632024800051
2012,0.069052634,1.6426713248096552
2013,0.069586179,0.7726642259584137
2014,0.07041726,1.1943190615481234
2015,0.069347002,-1.5198802111868464
2016,0.068101518,-1.796017079440586
2017,0.066059743,-2.9981343440831902
2018,0.063676076,-3.6083503988200585
2019,0.062353521,-2.0770045566249973
2020,0.059419783,-4.705007757300514
