years,Coal,Hydro Power,Natural Gas,Nuclear Fuel,Renewable Supply
1990,4367.154737,802.37218191,1021.2743946,1580.4429535,176.36226315
1991,4357.8705423,791.76490114,1045.3507313,1678.2605124,188.43633975
1992,4429.5246965,691.49727679,1104.0283388,1690.6455272,201.55689055
1993,4630.3294031,768.47673287,1136.7857478,1672.0307233,208.80351264
1994,4632.0379833,712.67324035,1260.8731012,1754.6296769,209.68532346
1995,4683.3601864,851.59657062,1359.0628633,1844.9373233,202.64489039
1996,4904.9059918,948.53022686,1243.3212463,1843.5206174,207.09180988
1997,5054.8376331,976.58255124,1313.4210136,1722.3127971,211.45977554
1998,5132.9196988,885.85112605,1455.4989148,1845.7591891,211.20111203
1999,5153.6636274,875.44117629,1524.3729505,1995.2167781,217.59728279
2000,5372.3076393,752.9305931,1642.1807622,2059.8167759,221.05457181
2001,5216.3177001,594.41381271,1751.0386384,2106.3734466,193.88670416
2002,5296.247535,724.18857162,1893.1664042,2137.1618822,216.73744293
2003,5407.4979362,755.63376148,1780.5685829,2092.4183425,217.77200605
2004,5405.1927408,733.38061079,1940.1639509,2154.4491448,226.95987183
2005,5514.7206569,740.60616501,2084.8225863,2142.4283973,239.25859405
2006,5453.4551475,792.45591942,2236.8239976,2156.7633863,264.45337362
2007,5524.5358272,678.10950521,2456.4103584,2209.3828849,288.32191795
2008,5425.6864484,696.26060085,2412.5152687,2202.7552869,344.53822607
2009,4810.6965658,749.16462732,2523.2292332,2188.6426986,395.28408299
2010,5061.0692385,712.88510671,2706.0197895,2210.8720563,458.0081751
2011,4749.1232849,874.94492674,2777.2299144,2164.9434712,531.45527888
2012,4136.7293394,754.75468301,3349.4376069,2101.9979481,596.5381541
2013,4331.8211221,735.79555512,3081.7412298,2161.6889671,694.54259715
2014,4333.4529961,710.59347027,3086.5998553,2184.016389,764.96624126
2015,3705.2005228,682.41117748,3653.3756132,2184.0489781,808.65995581
2016,3385.6520455,731.72717992,3765.8659098,2201.3495847,933.42329915
2017,3303.6582732,822.83055151,3551.8210481,2205.3414658,1058.2938361
2018,3156.7829793,795.33670742,4024.3692451,2210.7230438,1158.8681526
2019,2889.8698548,730.37105397,4025.6151562,2185.4151068,1282.7542685
2020,2691.4775082,769.89290574,4167.1879945,2111.0668661,1426.6004809
