year,Price of Natural Gas,Price of Coal,Price of Oil,
1990,1.698333333,1.454064938,24.50031746,
1991,1.486666667,1.446002963,21.52795635,-0.12131929
1992,1.771666667,1.411528026,20.58370472,-0.043861647
1993,2.120833333,1.384865295,18.41047244,-0.10558023
1994,1.92,1.355419161,17.20842688,-0.065291402
1995,1.686666667,1.317056888,18.42725794,0.07082757
1996,2.756666667,1.288236906,22.13213439,0.201054137
1997,2.497416667,1.272109063,20.58863492,-0.069740199
1998,2.090916667,1.251776583,14.41543874,-0.299835138
1999,2.268666667,1.215859501,19.4011811,0.345861299
2000,4.309,1.199742869,30.36345635,0.565031334
2001,3.957166667,1.231451345,25.93181349,-0.145953175
2002,3.366083333,1.253831123,26.18882937,0.009911219
2003,5.485416667,1.281096518,31.0794127,0.186743106
2004,5.899333333,1.362989528,41.50147059,0.335336385
2005,8.812,1.542593153,56.65498419,0.365131967
2006,6.742833333,1.693783268,66.05790873,0.165968179
2007,6.976,1.769208809,72.3406746,0.095109972
2008,8.861083333,2.066748503,99.67143083,0.377806212
2009,3.947916667,2.205713032,61.95912648,-0.378366238
2010,4.387583333,2.267572512,79.50143701,0.283127144
2011,3.9995,2.391206317,94.89542688,0.193631593
2012,2.7515,2.382671674,94.07794862,-0.008614517
2013,3.727,2.343159099,97.98268651,0.041505347
2014,4.392666667,2.363805704,93.17194048,-0.049097919
2015,2.631416667,2.226270838,48.66516206,-0.477684356
2016,2.514916667,2.112418673,43.32767194,-0.109677845
2017,2.9865,2.058282717,50.79151779,0.172265103
2018,3.151083333,2.062149522,65.06050198,0.280932424
2019,2.8286,2.073958809,54.79043478,-0.157854103
2020,2.79524425,2.076898334,58,0.058578933
